Car Model,warranty,Engine capacity,Horse Power,Maximum Speed,Acceleration,Speeds,Transmission Type,Year,Fuel,liter/100KM,Origin Country,Assembly Country,Length (mm),Width (mm),Height (mm),Ground Clearance,Wheel Base,Trunk Size,Seats,Traction Type,Number of cylinder,Fuel tank capacity,Torque of newton,Insurance Price,Register Price
Hyundai Accent RB 2023 A/T / TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,125,185,11.1,4 Speeds,automatic,Year 2023,92,6.5,Korea,Egypt,4370,1705,1455,147,2570,389,5,Front Traction,4,43,156,"9,000 EGP","3,600 EGP"
Hyundai Accent RB 2023 A/T / SR TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,125,185,11.1,4 Speeds,automatic,Year 2023,92,6.5,Korea,Egypt,4370,1705,1455,147,2570,389,5,Front Traction,4,43,156,"9,250 EGP","3,700 EGP"
Hyundai Accent RB 2023 A/T / DAB ABS TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,125,185,11.1,4 Speeds,automatic,Year 2023,92,6.5,Korea,Egypt,4370,1705,1455,147,2570,389,5,Front Traction,4,43,156,"9,500 EGP","3,800 EGP"
Hyundai Accent RB 2023 A/T / DAB ABS PLUS TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,125,185,11.1,4 Speeds,automatic,Year 2023,92,6.5,Korea,Egypt,4370,1705,1455,147,2570,389,5,Front Traction,4,43,156,"9,750 EGP","3,900 EGP"
Hyundai Accent RB 2023 A/T / Highline TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,125,185,11.1,4 Speeds,automatic,Year 2023,92,6.5,Korea,Egypt,4370,1705,1455,147,2570,389,5,Front Traction,4,43,156,"10,000 EGP","4,000 EGP"
Hyundai Accent RB 2022 A/T / TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,125,185,11.1,4 Speeds,automatic,Year 2022,92,6.5,Korea,Egypt,4370,1705,1455,147,2570,389,5,Front Traction,4,43,156,"8,750 EGP","3,500 EGP"
Hyundai Accent RB 2022 A/T / SR TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,125,185,11.1,4 Speeds,automatic,Year 2022,92,6.5,Korea,Egypt,4370,1705,1455,147,2570,389,5,Front Traction,4,43,156,"9,000 EGP","3,600 EGP"
Hyundai Accent RB 2022 A/T / DAB ABS TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,125,185,11.1,4 Speeds,automatic,Year 2022,92,6.5,Korea,Egypt,4370,1705,1455,147,2570,389,5,Front Traction,4,43,156,"9,175 EGP","3,670 EGP"
Hyundai Accent RB 2022 A/T / DAB ABS PLUS TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,125,185,11.1,4 Speeds,automatic,Year 2022,92,6.5,Korea,Egypt,4370,1705,1455,147,2570,389,5,Front Traction,4,43,156,"9,425 EGP","3,770 EGP"
Hyundai Accent RB 2022 A/T / Highline TINTED GLASS,"100000 Km /
3 Year(s)",1600 CC,125,185,11.1,4 Speeds,automatic,Year 2022,92,6.5,Korea,Egypt,4370,1705,1455,147,2570,389,5,Front Traction,4,43,156,"9,675 EGP","3,870 EGP"
